   9.5000000e+01   4.9280000e-01   1.0000000e+00
   1.6600000e+02   3.6170000e-01   1.0000000e+00
   2.3800000e+02   2.7980000e-01   1.0000000e+00
   4.7500000e+02   1.3410000e-01   1.0000000e+00
   9.5100000e+02   4.0300000e-02   1.0000000e+00
   1.6640000e+03   8.0000000e-03   8.6953365e-01
   2.3770000e+03   1.8000000e-03   6.0905462e-01
   4.7540000e+03   1.0000000e-04   1.8653055e-01
   9.5080000e+03   0.0000000e+00   1.7788835e-02
   2.3769000e+04   0.0000000e+00   1.7337747e-05
